A,А сайт 
tranquillity,спокойствие 
tranquillize,успокаивают 
tranquillized,tranquillized 
tranquillizer,транквилизатором 
tranquillizers,транквилизаторы 
tranquillizes,tranquillizes 
tranquillizing,транквилизатор 
tranquilly,спокойно 
transact,Сделка 
transacted,проводимых операций 
transacting,сделок 
transaction,сделка 
transactions,сделки 
transacts,транзактов 
transatlantic,трансатлантическая 
transceiver,трансивер 
transceivers,трансиверы 
transcend,преодолеть 
transcended,превзошли 
transcendence,трансцендентность 
transcendent,трансцендентное 
transcendental,трансцендентное 
transcendentalism,трансцендентализма 
transcendentalist,трансценденталист 
transcendentalists,трансценденталисты 
transcendentally,трансцендентально 
transcending,трансцендентный 
transcends,трансцендирует 
transcontinental,трансконтинентальный 
transcribe,транскрибировать 
transcribed,транскрибируется 
transcribes,транскрибирует 
transcribing,Переписывание 
transcript,стенограмма 
transcription,транскрипция 
transcriptions,переложения 
transcripts,стенограммы 
transducer,преобразователь 
transducers,преобразователи 
transept,трансепт 
transepts,трансепты 
transfer,передачи 
transferable,передаче 
transferal,перенесение 
transferals,transferals 
transference,перенос 
transferred,переданы 
transferring,передачи 
transfers,переводы 
transfiguration,преображение 
transfigure,преобразить 
transfigured,преобразился 
transfigures,преображает 
transfiguring,преображающая 
transfinite,трансфинитная 
transfix,Связывают 
transfixed,пронзенный 
transfixes,пронзает 
transfixing,transfixing 
transfixt,transfixt 
transform,преобразования 
transformation,преобразование 
transformations,преобразования 
transformed,трансформируется 
transformer,трансформатор 
transformers,трансформаторы 
transforming,трансформирующий 
transforms,преобразования 
transfuse,переливать 
transfused,переливается 
transfuses,переливается 
transfusing,переливание 
transfusion,переливание 
transfusions,переливание 
transgress,преступить 
transgressed,преступил 
transgresses,преступает 
transgressing,преступив 
transgression,преступление 
transgressions,преступления 
transgressor,преступник 
transgressors,нарушители 
transience,быстротечность 
transiency,быстротечность 
transient,переходных 
transients,переходные 
transistor,транзистор 
transistors,транзисторы 
transit,транзит 
transited,транзитом 
transiting,транзитом 
transition,переход 
transitional,переходная 
transitioned,перешли 
transitioning,Переход 
transitions,переходы 
transitive,транзитивным 
transitively,транзитивно 
transitives,transitives 
transitory,преходящее 
transits,транзиты 
transitted,транзитом 
transitting,транзитом 
translate,перевести 
translated,переводится 
translates,переводит 
translating,перевод 
translation,перевод 
translations,переводы 
translator,переводчик 
translators,переводчики 
transliterate,транслитерировать 
transliterated,транслитерации 
transliterates,транслитерирует 
transliterating,транслитерации 
transliteration,транслитерация 
transliterations,транслитерация 
translucence,светопроницаемость 
translucent,полупрозрачный 
transmigrate,переселяться 
transmigrated,переселено 
transmigrates,трансмигрирует 
transmigrating,переселяется 
transmigration,переселение 
transmissible,передаваться 
transmission,передачи 
transmissions,передачи 
transmit,передавать 
transmits,передает 
transmittable,передаваемый 
transmittal,за пересылку 
transmitted,передается 
transmitter,передатчик 
transmitters,передатчики 
transmitting,передающая 
transmutation,трансмутации 
transmutations,превращения 
transmute,преобразовать 
transmuted,трансмутированы 
transmutes,Transmutes 
transmuting,трансмутаций 
transnational,транснациональной 
transnationals,транснациональные 
transoceanic,заокеанский 
transom,транец 
transoms,фрамуги 
transparencies,прозрачные 
transparency,прозрачность 
transparent,прозрачный 
transparently,прозрачно 
transpiration,транспирация 
transpire,происходить 
transpired,выяснилось 
transpires,выясняется 
transpiring,просачивалось 
transplant,пересадка 
transplantation,трансплантация 
transplanted,пересаживают 
transplanting,пересадка 
transplants,трансплантаты 
transponder,транспондер 
transponders,транспондеры 
transport,транспорт 
transportable,переносные 
transportation,транспорт 
transported,транспортироваться 
transporter,транспортер 
transporters,транспортеры 
transporting,транспортировка 
transports,транспорты 
transpose,транспонировать 
transposed,транспонировать 
transposes,транспонированные 
transposing,транспонирование 
transposition,транспозиция 
transpositions,транспозиции 
transsexual,транссексуал 
transsexuals,транссексуалы 
transship,переваливать 
transshipment,перевалка 
transshipped,перевалено 
transshipping,перегрузочный 
transships,перевалку 
transubstantiation,пресуществление 
transverse,поперечная 
transversely,поперечно 
transverses,пробегает 
transvestism,трансвестизм 
transvestite,трансвестит 
transvestites,трансвеститы 
trap,ловушка 
trapdoor,люк 
trapdoors,люки 
trapeze,трапеции 
trapezes,трапеции 
trapezoid,трапеция 
trapezoidal,трапециевидной 
trapezoids,трапеции 
trappable,Перехватываемая 
trapped,ловушке 
trapper,охотник 
trappers,охотники 
trapping,улавливания 
trappings,атрибуты 
traps,ловушки 
trapshooting,trapshooting 
trash,мусор 
trashcan,мусорка 
trashcans,мусорные баки 
trashed,разгромили 
trashes,громит 
trashier,trashier 
trashiest,trashiest 
trashing,Корзиной 
trashy,дрянной 
trauma,травмы 
traumas,травмы 
traumata,травм 
traumatic,травматический 
traumatize,травмировать 
traumatized,травмированы 
traumatizes,травмирует 
traumatizing,травмирующим 
travail,изнурение 
travailed,родами 
travailing,родах 
travails,мучений 
travel,поездки 
traveled,путешествовал 
traveler,путешественник 
travelers,путешественники 
traveling,путешествия 
travelings,Гастрономия 
travelled,путешествовал 
traveller,путешественник 
travellers,путешественники 
travelling,путешествия 
travelog,Travelog 
travelogs,travelogs 
travelogue,о путешествии 
travelogues,путешествиях 
travels,путешествия 
traverse,пройти 
traversed,пройденный 
traverses,траверсы 
traversing,обходе 
travestied,травестируется 
travesties,травести 
travesty,пародия 
travestying,travestying 
trawl,трал 
trawled,тралили 
trawler,траулер 
trawlers,траулеры 
trawling,траление 
trawls,тралы 
tray,лоток 
trays,лотки 
treacheries,предательства 
treacherous,коварный 
treacherously,предательски 
treachery,предательство 
treacle,патока 
tread,протектора 
treading,ступая 
treadle,педали 
treadled,treadled 
treadles,педалей 
treadling,педалирования 
treadmill,беговая дорожка 
treadmills,беговые дорожки 
treads,протекторы 
treason,измена 
treasonable,изменнический 
treasonous,изменой 
treasure,сокровище 
treasured,заветная 
treasurer,казначей 
treasurers,казначеи 
treasures,сокровища 
treasuries,казначейства 
treasuring,дорожа 
treasury,казна 
treat,лечения 
treatable,излечимы 
treated,лечение 
treaties,договоры 
treating,лечения 
treatise,трактат 
treatises,трактаты 
treatment,лечение 
treatments,лечения 
treats,лечит 
treaty,договор 
treble,высоких частот 
trebled,втрое 
trebles,тройных 
trebling,утроение 
tree,дерево 
treed,Treed 
treeing,Treeing 
treeless,безлесной 
trees,деревья 
treetop,верхушки дерева 
treetops,верхушки деревьев 
trefoil,трилистник 
trefoils,трилистники 
trek,поход 
trekked,кочевали 
trekking,треккинг 
treks,походы 
trellis,шпалера 
trellised,решетчатые 
trellises,шпалеры 
trellising,подвязки 
tremble,дрожать 
trembled,дрожали 
trembles,дрожит 
trembling,дрожь 
tremendous,огромный 
tremendously,чрезвычайно 
tremolo,тремоло 
tremolos,тремоло 
tremor,тремор 
tremors,тремор 
tremulous,трепетная 
tremulously,трепетно 
trench,траншеи 
trenchant,хлеще 
trenched,траншеи 
trenches,траншеи 
trenching,траншей 
trend,тенденция 
trended,отклонялись 
trendier,модным 
trendies,trendies 
trendiest,Самые модные 
trending,тренд 
trends,тенденции 
trendy,модный 
trepidation,трепет 
trespass,повинности 
trespassed,беззаконно 
trespasser,нарушитель 
trespassers,нарушители 
trespasses,согрешения 
trespassing,Посторонним вход воспрещен 
tress,коса 
tresses,локоны 
trestle,эстакада 
trestles,эстакад 
triad,триада 
triads,триады 
triage,сортировка 
trial,суд 
trialed,опробована 
trialing,испытания той 
trials,испытания 
triangle,треугольник 
triangles,треугольники 
triangular,треугольная 
triangulation,триангуляции 
triathlon,триатлон 
triathlons,триатлону 
tribal,племенной 
tribalism,трайбализм 
tribe,племя 
tribes,племена 
tribesman,племени 
tribesmen,соплеменники 
tribulation,скорбь 
tribulations,невзгоды 
tribunal,трибунал 
tribunals,трибуналы 
tribune,трибуна 
tribunes,трибуны 
tributaries,притоки 
tributary,приток 
tribute,дань 
tributes,дани 
trice,трижды 
triceps,трицепс 
tricepses,tricepses 
triceratops,трицератопса 
triceratopses,triceratopses 
trick,хитрость 
tricked,обманом 
trickery,обман 
trickier,сложнее 
trickiest,сложная 
trickiness,trickiness 
tricking,обманывая 
trickle,ручеек 
trickled,сочилась 
trickles,струйки 
trickling,капельный 
tricks,трюки 
trickster,трикстер 
tricksters,обманщики 
tricky,хитрым 
tricolor,триколор 
tricolors,триколор 
tricycle,трехколесный велосипед 
tricycles,трехколесные велосипеды 
trident,трезубец 
tridents,трезубцы 
tried,пытался 
triennial,трехгодичного 
triennials,триеннале 
tries,пытается 
trifle,мелочь 
trifled,шутки плохи 
trifler,trifler 
triflers,triflers 
trifles,мелочи 
trifling,плевое 
trifocals,трифокальные 
trig,тригонометрические 
trigger,триггера 
triggered,срабатывает 
triggering,срабатывания 
triggers,триггеры 
triglyceride,триглицеридов 
triglycerides,триглицериды 
trigonometric,тригонометрические 
trigonometry,тригонометрия 
trike,мотодельтаплан 
trikes,трехколесные велосипеды 
trilateral,трехстороннее 
trilaterals,Трехсторонней комиссии 
trill,трель 
trilled,пропела 
trilling,трели 
trillion,трлн 
trillions,триллионы 
trillionth,триллионная 
trillionths,триллионных 
trills,трели 
trilogies,трилогии 
trilogy,трилогия 
trim,отделка 
trimaran,тримаран 
trimarans,тримараны 
trimester,триместр 
trimesters,триместры 
trimly,trimly 
trimmed,обрезается 
trimmer,триммер 
trimmers,триммеры 
trimmest,искусно 
trimming,обрезки 
trimmings,отделка 
trimness,trimness 
trims,планки 
trinities,троицы 
trinity,троица 
trinket,брелок 
trinkets,брелоки 
trio,трио 
trios,трио 
trip,поездка 
tripartite,трехсторонний 
tripe,рубец 
triple,тройной 
tripled,в три раза 
triples,тройки 
triplet,триплет 
triplets,тройни 
triplicate,тройные 
triplicated,triplicated 
triplicates,трижды 
triplicating,triplicating 
tripling,утроение 
triply,трехкратно 
tripod,штатив 
tripods,штативы 
tripos,Tripos 
tripped,сработал 
tripping,отключения 
trips,экскурсии 
triptych,триптих 
triptychs,Триптих 
trisect,trisect 
trisected,разделенной между 
trisecting,трисекции 
trisects,trisects 
trite,банально 
tritely,пошло 
triteness,пошлость 
triter,triter 
tritest,TRITEST 
triumph,триумф 
triumphal,триумфальная 
triumphant,торжествующий 
triumphantly,торжествующе 
triumphed,восторжествовала 
triumphing,восторжествовав 
triumphs,торжествует 
triumvirate,триумвират 
triumvirates,триумвираты 
trivet,подставка 
trivets,подставки 
trivia,мелочи 
trivial,тривиально 
trivialities,мелочи 
triviality,тривиальность 
trivialize,тривиализовать 
trivialized,тривиальным 
trivializes,тривиализирует 
trivializing,банальность 
trivially,тривиально 
trochee,хорей 
trochees,хореи 
trod,TROD 
trodden,протоптанной 
troika,тройка 
troikas,тройки 
troll,тролль 
trolled,контролируемого 
trolley,тележка 
trolleys,тележки 
trollies,тележки 
trolling,троллинг 
trollop,шлюха 
trollops,trollops 
trolls,тролли 
trolly,трамвай 
trombone,тромбон 
trombones,тромбоны 
trombonist,тромбонист 
trombonists,тромбонисты 
tromp,Тромп 
tromped,протопал 
tromping,пытается пройти 
tromps,тромпов 
troop,войск 
trooped,гурьбой 
trooper,солдат 
troopers,солдаты 
trooping,Вынос 
troops,войска 
troopship,перевозки войск 
troopships,troopships 
trope,троп 
tropes,тропы 
trophies,трофеи 
trophy,трофей 
tropic,Тропик 
tropical,тропический 
tropics,тропики 
tropism,тропизм 
tropisms,тропизмы 
troposphere,тропосфере 
tropospheres,tropospheres 
trot,рысь 
troth,Трот 
trots,рыси 
trotted,рысью 
trotter,рысак 
trotters,рысаки 
trotting,рысью 
troubadour,трубадур 
troubadours,трубадуры 
trouble,беда 
troubled,проблемных 
troublemaker,нарушитель 
troublemakers,нарушители 
troubles,неприятности 
troubleshoot,устранения 
troubleshooted,troubleshooted 
troubleshooter,устранение неполадок 
troubleshooters,устранения неполадок 
troubleshooting,устранение неисправностей 
troubleshoots,Устраняет неисправность 
troubleshot,диагностирован 
troublesome,хлопотно 
troubling,тревожным 
trough,корыта 
troughs,корыта 
trounce,Trounce 
trounced,побить 
trounces,trounces 
trouncing,наказывающий 
troupe,труппа 
trouped,trouped 
trouper,труппы 
troupers,troupers 
troupes,труппы 
trouping,trouping 
trouser,брюк 
trousers,брюки 
trousseau,приданое 
trousseaus,приданое 
trousseaux,trousseaux 
trout,форель 
trouts,форель 
trowel,шпатель 
troweled,шпателем 
troweling,затирки 
trowelled,затирки 
trowelling,затирки 
trowels,мастерки 
troy,тройская 
troys,Трой 
truancy,прогулы 
truant,прогуливать 
truanted,truanted 
truanting,truanting 
truants,прогульщиков 
truce,перемирие 
truces,перемирия 
truck,грузовик 
trucked,грузовиках 
trucker,дальнобойщик 
truckers,дальнобойщики 
trucking,грузоперевозки 
truckle,раскладушка 
truckled,truckled 
truckles,truckles 
truckling,truckling 
truckload,грузовик 
truckloads,грузовиков 
trucks,грузовики 
truculence,агрессивность 
truculent,свирепый 
truculently,truculently 
trudge,тащусь 
trudged,поплелся 
trudges,тащится 
trudging,тащился 
true,правда 
trued,trued 
trueing,подгонки 
truer,вернее 
trues,истины 
truest,вернейший 
truffle,трюфель 
truffles,трюфели 
truing,Центровочный 
truism,трюизм 
truisms,прописные истины 
truly,действительно 
trump,козырь 
trumped,сфабрикованным 
trumpery,мишура 
trumpet,труба 
trumpeted,трубили 
trumpeter,трубач 
trumpeters,трубачи 
trumpeting,трубят 
trumpets,трубы 
trumping,побеждает 
trumps,козыри 
truncate,усечение 
truncated,усеченный 
truncates,усекает 
truncating,усечения 
truncation,усечение 
truncheon,дубинка 
truncheons,дубинка 
trundle,колесиках 
trundled,катили 
trundles,катит 
trundling,катил 
trunk,ствол 
trunking,короб 
trunks,стволы 
truss,фермы 
trussed,скрутили 
trusses,фермы 
trussing,Конструкции 
trust,доверие 
trusted,доверять 
trustee,попечитель 
trustees,попечители 
trusteeship,попечительства 
trusteeships,подопечные 
trustful,доверчивая 
trustfully,доверчиво 
trustfulness,доверчивость 
trustier,trustier 
trusties,придурками 
trustiest,trustiest 
trusting,доверчивы 
trusts,тресты 
trustworthier,trustworthier 
trustworthiest,trustworthiest 
trustworthiness,надежность 
trustworthy,доверия 
trusty,надежный 
truth,правда 
truthful,правдивым 
truthfully,правдиво 
truthfulness,правдивость 
truths,истины 
try,попробуйте 
trying,пытаясь 
tryout,проба 
tryouts,пробным 
tryst,свидание 
trysted,trysted 
trysting,Trysting 
trysts,свиданий 
ts,TS 
tsar,царь 
tsarina,царица 
tsarinas,царицы 
tsars,цари 
tsunami,цунами 
tsunamis,цунами 
tub,ванна 
tuba,туба 
tubas,тубы 
tubbier,tubbier 
tubbiest,tubbiest 
tubby,Плотное 
tube,трубка 
tubed,камерные 
tubeless,бескамерные 
tuber,клубень 
tubercle,бугорок 
tubercles,бугорки 
tubercular,туберкулезный 
tuberculosis,туберкулез 
tuberculous,туберкулезный 
tuberous,клубневые 
tubers,клубни 
tubes,трубы 
tubing,трубки 
tubs,ванны 
tubular,трубчатый 
tuck,живота 
tucked,заправленные 
tucker,Такер 
tuckered,tuckered 
tuckering,tuckering 
tuckers,Tuckers 
tucking,заправляя 
tucks,складки 
tuft,пучок 
tufted,хохлатая 
tufting,тафтинговые 
tufts,пучки 
tug,буксир 
tugboat,буксир 
tugboats,буксиры 
tugged,дернул 
tugging,дергать 
tugs,буксиры 
tuition,обучение 
tulip,тюльпан 
tulips,тюльпаны 
tulle,тюль 
tumble,падать 
tumbled,упали 
tumbledown,полуразрушенная 
tumbler,стакан 
tumblers,тумблеры 
tumbles,Tumbles 
tumbleweed,перекати-поле 
tumbleweeds,перекати-поле 
tumbling,акробатика 
tumbrel,tumbrel 
tumbrels,tumbrels 
tumbril,tumbril 
tumbrils,tumbrils 
tumid,распухший 
tummies,животики 
tummy,животик 
tumor,опухоль 
tumors,опухоли 
tumult,смятение 
tumults,бесчинство 
tumultuous,бурной 
tun,тун 
tuna,тунец 
tunas,тунцы 
tundra,тундра 
tundras,тундры 
tune,мелодия 
tuned,настроены 
tuneful,мелодичная 
tunefully,мелодично 
tuneless,немелодичный 
tunelessly,tunelessly 
tuner,тюнер 
tuners,тюнеры 
tunes,мелодии 
tungsten,вольфрама 
tunic,туника 
tunics,туники 
tuning,тюнинг 
tunnel,туннель 
tunneled,туннелируется 
tunneling,туннелирование 
tunnelings,tunnelings 
tunnelled,туннелировано 
tunnelling,туннелирование 
tunnels,тоннели 
tunnies,тунцы 
tunny,тунец 
tuns,бочки 
turban,тюрбан 
turbans,тюрбаны 
turbid,мутная 
turbine,турбины 
turbines,турбины 
turbojet,турбореактивный 
turbojets,ТРД 
turboprop,турбовинтовой 
turboprops,турбовинтовые 
turbot,тюрбо 
turbots,turbots 
turbulence,турбулентность 
turbulent,турбулентный 
turbulently,бурно 
turd,какашка 
turds,Turds 
tureen,супница 
tureens,супницы 
turf,торф 
turfed,покрыты дерном 
turfing,обкладывание 
turfs,газоны 
turgid,тургесцентной 
turgidity,тургесцентность 
turgidly,turgidly 
turkey,индейка 
turkeys,индеек 
turmeric,куркума 
turmerics,Turmerics 
turmoil,беспорядки 
turmoils,потрясений 
turn,поворот 
turnabout,поворот 
turnabouts,"Радикальные перемены, произошедшие "
turnaround,поворот 
turnarounds,ремонты 
turncoat,перебежчик 
turncoats,перебежчики 
turned,оказалось 
turner,токарь 
turners,токари 
turning,поворачивая 
turnip,репа 
turnips,репа 
turnkey,под ключ 
turnkeys,тюремщиков 
turnoff,разочарование 
turnoffs,turnoffs 
turnout,явка 
turnouts,стрелочные 
turnover,оборот 
turnovers,обороты 
turnpike,шлагбаум 
turnpikes,шлагбаумы 
turns,повороты 
turnstile,турникет 
turnstiles,турникеты 
turntable,проигрыватель 
turntables,вертушки 
turpentine,скипидар 
turpitude,распущенность 
turquoise,бирюзовый 
turquoises,бирюза 
turret,башенка 
turrets,башенки 
turtle,черепаха 
turtledove,горлица 
turtledoves,горлиц 
turtleneck,водолазка 
turtlenecks,водолазки 
turtles,черепахи 
turves,дерн 
tush,туш 
tushes,tushes 
tusk,бивень 
tusked,Отделанный бивнями 
tusks,бивни 
tussle,драка 
tussled,tussled 
tussles,схватки 
tussling,tussling 
tussock,кочки 
tussocks,кочки 
tutelage,опека 
tutor,Репетитор 
tutored,обучал 
tutorial,учебник 
tutorials,учебники 
tutoring,ЗАНЯТИЯ 
tutors,репетиторы 
tutu,пачка 
tutus,пачки 
tux,смокинг 
tuxedo,смокинг 
tuxedoes,смокингах 
tuxedos,смокинги 
tuxes,смокингах 
twaddle,болтовня 
twaddled,twaddled 
twaddles,twaddles 
twaddling,twaddling 
twain,Твен 
twang,протяжный звук 
twanged,twanged 
twanging,twanging 
twangs,протяжными звуками 
tweak,настроить 
tweaked,приспособленными 
tweaking,Тонкая настройка 
tweaks,твики 
twee,элегантным 
tweed,твид 
tweedier,tweedier 
tweediest,tweediest 
tweeds,твида 
tweedy,Твиди 
tweet,Tweet 
tweeted,чирикал 
tweeter,ВЧ-динамик 
tweeters,твитеры 
tweeting,чирикают 
tweets,твитов 
tweezers,пинцет 
twelfth,двенадцатой 
twelfths,двенадцатых 
twelve,двенадцать 
twelves,Twelves 
twenties,двадцатых 
twentieth,двадцатой 
twentieths,двадцатых 
twenty,двадцать 
twerp,хам 
twerps,twerps 
twice,дважды 
twiddle,вертеть 
twiddled,повертел 
twiddles,крутит 
twiddling,сложа 
twig,веточка 
twigged,twigged 
twiggier,twiggier 
twiggiest,twiggiest 
twigging,twigging 
twiggy,Твигги 
twigs,веточки 
twilight,сумерки 
twill,твил 
twilled,саржевого 
twin,близнец 
twine,шпагат 
twined,крученого 
twines,шпагаты 
twinge,Приступ боли 
twinged,twinged 
twingeing,twingeing 
twinges,приступы 
twinging,twinging 
twining,Сплетение 
twinkle,мерцают 
twinkled,мерцали 
twinkles,мерцает 
twinkling,мерцание 
twinklings,twinklings 
twinned,побратимом 
twinning,двойникования 
twins,близнецы 
twirl,вертеть 
twirled,закрутил 
twirler,twirler 
twirlers,twirlers 
twirling,вертела 
twirls,вертит 
twist,поворот 
twisted,витая 
twister,твистер 
twisters,твистеры 
twisting,скручивания 
twists,повороты 
twit,кретин 
twitch,дергаться 
twitched,дернулся 
twitches,дергается 
twitching,подергивание 
twits,Twits 
twitted,Twitted 
twitter,Twitter 
twittered,щебетали 
twittering,щебетание 
twitters,щебечет 
twitting,насмешках 
two,два 
twofer,twofer 
twofers,twofers 
twofold,в два раза 
twos,двоек 
twosome,парочка 
twosomes,twosomes 
tycoon,магнат 
tycoons,магнаты 
tying,связывая 
tyke,дворняжка 
tykes,Тайкс 
tympana,тимпаны 
tympanum,Барабанная 
tympanums,тимпанах 
type,Тип 
typecast,приведение 
typecasting,типажей 
typecasts,приведения типов 
typed,набрали 
typeface,шрифт 
typefaces,шрифты 
types,типы 
typescript,машинопись 
typescripts,машинописные тексты 
typeset,верстать 
typesets,Печатает 
typesetter,наборщик 
typesetters,наборщики 
typesetting,набор текста 
typewrite,машинным 
typewriter,пишущая машинка 
typewriters,пишущие машинки 
typewrites,typewrites 
typewriting,машинопись 
typewritten,машинописных 
typewrote,typewrote 
typhoid,тиф 
typhoon,тайфун 
typhoons,тайфуны 
typhus,тиф 
typical,типичный 
typically,обычно 
typified,характерна 
typifies,типичный 
typify,типичны 
typifying,типизации 
typing,набрав 
typist,машинистка 
typists,машинистки 
typo,опечатка 
typographer,типограф 
typographers,типографы 
typographic,типографская 
typographical,типографская 
typographically,типографским 
typography,типография 
typos,опечатки 
tyrannical,тираническим 
tyrannically,тиран 
tyrannies,тирании 
tyrannize,тиранствовать 
tyrannized,тиранили 
tyrannizes,тиранизирует 
tyrannizing,тиранить 
tyrannosaur,тиранозавр 
tyrannosaurs,тираннозавров 
tyrannosaurus,тиранозавр 
tyrannosauruses,tyrannosauruses 
tyrannous,тиранический 
tyranny,тирания 
tyrant,тиран 
tyrants,тираны 
tyro,новичком 
tyroes,tyroes 
tyros,новички 
tzar,царь 
tzarina,царица 
tzarinas,tzarinas 
tzars,цари 
u,у 
ubiquitous,повсеместно 
ubiquitously,повсеместно 
ubiquity,повсеместное 
udder,вымя 
udders,вымя 
ugh,тьфу 
uglier,уродливее 
ugliest,уродливый 
ugliness,уродство 
ugly,некрасиво 
uh,э 
ukelele,Ukelele 
ukeleles,ukeleles 
ukulele,укулеле 
ukuleles,гавайские гитары 
ulcer,язва 
ulcerate,изъязвляться 
ulcerated,изъязвленные 
ulcerates,ulcerates 
ulcerating,паховый 
ulceration,изъязвления 
ulcerous,язвенная 
ulcers,язвы 
ulna,локтевая кость 
ulnae,ulnae 
ulnas,ulnas 
ulterior,скрытый 
ultimata,ультиматумы 
ultimate,конечная 
ultimately,"в конечном счете, "
ultimatum,ультиматум 
ultimatums,ультиматумы 
ultra,ультра 
ultraconservative,ультраконсервативным 
ultraconservatives,ultraconservatives 
ultramarine,ультрамарин 
ultras,ультрас 
ultrasonic,ультразвуковой 
ultrasonically,ультразвуком 
ultrasound,УЗИ 
ultrasounds,УЗИ 
ultraviolet,ультрафиолетовое 
ululate,ululate 
ululated,ululated 
ululates,ululates 
ululating,ululating 
um,мкм 
umbel,зонтик 
umbels,зонтики 
umber,хариус 
umbilical,пупочная 
umbilici,umbilici 
umbilicus,пупок 
umbilicuses,umbilicuses 
umbrage,обида 
umbrella,зонтик 
umbrellas,зонтики 
umiak,умиак 
umiaks,умиаков 
umlaut,умляут 
umlauts,умляуты 
ump,UMP 
umped,umped 
umping,umping 
umpire,судья 
umpired,ампайрами 
umpires,судьи 
umpiring,Спорте 
umps,UMPS 
umpteen,бесчисленное 
umpteenth,энный 
unabashed,беззастенчивого 
unabated,ослабевает 
unable,не в состоянии 
unabridged,без сокращений 
unabridgeds,unabridgeds 
unaccented,без акцента 
unacceptability,неприемлемость 
unacceptable,неприемлемо 
unacceptably,неприемлемо 
unaccepted,непринятый 
unaccompanied,без сопровождения 
unaccountable,необъяснимым 
unaccountably,необъяснимо 
unaccustomed,непривычные 
unacknowledged,непризнанное 
unacquainted,незнакомый 
unadorned,украшений 
unadulterated,чистейший 
unadvised,поспешный 
unaffected,влияет 
unafraid,боится 
unaided,без посторонней помощи 
unalterable,неизменное 
unalterably,неизменно 
unaltered,неизменным 
unambiguous,однозначным 
unambiguously,однозначно 
unanimity,единодушие 
unanimous,единодушны 
unanimously,единогласно 
unannounced,без предупреждения 
unanswerable,неопровержимый 
unanswered,без ответа 
unanticipated,Неожиданным 
unappealing,непривлекательным 
unappetizing,неаппетитными 
unappreciated,недооцененными 
unappreciative,неблагодарный 
unapproachable,неприступный 
unarmed,без оружия 
unashamed,бессовестный 
unashamedly,нагло 
unasked,непрошеный 
unassailable,неприступной 
unassigned,присвоены 
unassisted,без посторонней помощи 
unassuming,скромный 
unattached,одиноких 
unattainable,недостижимо 
unattended,без присмотра 
unattractive,непривлекательным 
unattributed,нетиповой 
unauthenticated,подлинности 
unauthorized,несанкционированное 
unavailable,недоступен 
unavailing,бесполезны 
unavoidable,неизбежно 
unavoidably,неизбежно 
unaware,знают 
unawares,врасплох 
unbalanced,несимметричный 
unbar,unbar 
unbarred,незапрещенный 
unbarring,unbarring 
unbars,unbars 
unbearable,невыносимой 
unbearably,невыносимо 
unbeatable,непобедим 
unbeaten,непобедимым 
unbecoming,негоже 
unbeknown,неизвестный 
unbeknownst,без ведома 
unbelief,неверие 
unbelievable,невероятно 
unbelievably,невероятно 
unbeliever,неверующий 
unbelievers,неверующие 
unbend,разогнуть 
unbending,разгибание 
unbends,распрямляется 
unbent,разгибается 
unbiased,беспристрастным 
unbiassed,непредвзятый 
unbidden,непрошеные 
unbind,отвязать 
unbinding,развязывание 
unbinds,отвязывается 
unblock,разблокировать 
unblocked,разблокирован 
unblocking,разблокировка 
unblocks,разблокирует 
unblushing,unblushing 
unbolt,отпирать 
unbolted,отпер 
unbolting,unbolting 
unbolts,unbolts 
unborn,нерожденный 
unbosom,излить 
unbosomed,unbosomed 
unbosoming,unbosoming 
unbosoms,unbosoms 
unbound,несвязанный 
unbounded,неограниченная 
unbranded,клейма 
unbreakable,небьющиеся 
unbridled,необузданная 
unbroken,непрерывная 
unbuckle,расстегнуть 
unbuckled,пристегнут 
unbuckles,отстегивает 
unbuckling,расстегивать 
unburden,разгрузить 
unburdened,необремененным 
unburdening,разгрузить 
unburdens,разгружает 
unbutton,расстегивать 
unbuttoned,расстегнута 
unbuttoning,расстегивать 
unbuttons,расстегивает 
uncalled,невостребованным 
uncannier,uncannier 
uncanniest,uncanniest 
uncannily,странно 
uncanny,жутко 
uncaring,незабота 
uncased,необсаженной 
uncatalogued,Декаталогизированный 
unceasing,непрестанная 
unceasingly,непрестанно 
uncensored,без цензуры 
unceremonious,бесцеремонное 
unceremoniously,бесцеремонно 
uncertain,неопределенными 
uncertainly,неуверенно 
uncertainties,неопределенности 
uncertainty,неопределенность 
unchallenged,бессменный 
unchanged,без изменений 
unchanging,неизменный 
uncharacteristic,нехарактерная 
uncharacteristically,нехарактерно 
uncharitable,немилосердно 
uncharitably,немилосердно 
uncharted,неизведанная 
unchecked,снят 
unchristian,христиански 
uncivil,нецивилизованного 
uncivilized,нецивилизованные 
unclaimed,невостребованными 
unclasp,разжать 
unclasped,расстегнул 
unclasping,разжимной 
unclasps,unclasps 
unclassified,несекретные 
uncle,дядя 
unclean,нечистый 
uncleaner,uncleaner 
uncleanest,uncleanest 
uncleanlier,uncleanlier 
uncleanliest,uncleanliest 
uncleanly,нечистоплотный 
uncleanness,нечистота 
unclear,непонятно 
unclearer,unclearer 
unclearest,unclearest 
uncles,дяди 
unclothe,unclothe
unclothed,без одежды 
unclothes,unclothes 
unclothing,unclothing 
uncluttered,лаконичную 
uncoil,размотать 
uncoiled,расжата 
uncoiling,разматывания 
uncoils,разматывается 
uncollected,несобранные 
uncomfortable,неудобно 
uncomfortably,неприятно 
uncommitted,неизрасходованный 
